layer,latent_mult,k,context_mode,feature_set,donor_type,receiver_row_idx,donor_row_idx,receiver_example_id,donor_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,repair,strong_repair
26,2,4,dept,control5_active,anomalous,120,8770,AAF0535:177,CQW0652:452,0.75,0.6642510294914246,0.5998463034629822,-0.06440472602844238,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,121,18681,AAF0535:178,IJM0776:214,0.25,0.6663397550582886,0.530853271484375,-0.13548648357391357,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,122,18672,AAF0535:179,IJM0776:203,1.0,0.6935533285140991,0.5912710428237915,-0.10228228569030762,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,123,18687,AAF0535:182,IJM0776:224,1.0,0.7877082228660583,0.7116464376449585,-0.07606178522109985,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,124,150,AAF0535:183,AAF0535:220,0.25,0.7554174661636353,0.6167914271354675,-0.13862603902816772,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,125,134,AAF0535:184,AAF0535:198,0.5,0.7574955224990845,0.6973744034767151,-0.060121119022369385,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,126,18685,AAF0535:185,IJM0776:220,1.0,0.772983193397522,0.7173597812652588,-0.055623412132263184,5,7,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,127,8767,AAF0535:186,CQW0652:449,0.25,0.7508953213691711,0.6884980797767639,-0.06239724159240723,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,128,18681,AAF0535:190,IJM0776:214,1.0,0.7869153618812561,0.7148630619049072,-0.07205229997634888,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,129,137,AAF0535:191,AAF0535:203,1.0,0.7290868759155273,0.5965372323989868,-0.13254964351654053,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,130,365,AAF0535:192,AAM0658:294,1.0,0.7120859622955322,0.6261798143386841,-0.08590614795684814,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,131,148,AAF0535:193,AAF0535:218,1.0,0.7550401091575623,0.6908067464828491,-0.06423336267471313,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,132,368,AAF0535:196,AAM0658:297,1.0,0.7067357897758484,0.570286214351654,-0.13644957542419434,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,133,8771,AAF0535:197,CQW0652:455,0.5,0.6375216841697693,0.5250989198684692,-0.11242276430130005,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,134,18674,AAF0535:198,IJM0776:205,0.75,0.6948560476303101,0.5506911873817444,-0.14416486024856567,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,135,18697,AAF0535:199,IJM0776:238,1.0,0.780369222164154,0.6128683090209961,-0.16750091314315796,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,136,18673,AAF0535:200,IJM0776:204,1.0,0.7988911271095276,0.7005154490470886,-0.09837567806243896,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,137,144,AAF0535:203,AAF0535:212,0.25,0.7146658897399902,0.6007946729660034,-0.11387121677398682,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,138,18694,AAF0535:204,IJM0776:233,0.75,0.7448335886001587,0.657173216342926,-0.08766037225723267,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,139,18693,AAF0535:205,IJM0776:232,0.25,0.8064968585968018,0.7154821753501892,-0.09101468324661255,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,140,8748,AAF0535:206,CQW0652:422,0.5,0.7696434855461121,0.6858224868774414,-0.08382099866867065,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,141,12261,AAF0535:207,FMG0527:371,1.0,0.700839102268219,0.5879786014556885,-0.11286050081253052,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,142,26065,AAF0535:210,LJR0523:213,0.5,0.7704856991767883,0.6065208315849304,-0.1639648675918579,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,143,138,AAF0535:211,AAF0535:204,1.0,0.6711767911911011,0.5748163461685181,-0.09636044502258301,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,144,8749,AAF0535:212,CQW0652:423,1.0,0.7024187445640564,0.5581516027450562,-0.14426714181900024,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,145,153,AAF0535:213,AAF0535:225,0.75,0.6447783708572388,0.6285319328308105,-0.016246438026428223,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,146,18667,AAF0535:214,IJM0776:196,0.75,0.6565871834754944,0.586444616317749,-0.07014256715774536,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,147,18663,AAF0535:217,IJM0776:190,0.5,0.651986837387085,0.6526590585708618,0.0006722211837768555,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,148,8746,AAF0535:218,CQW0652:420,1.0,0.7151181697845459,0.7297250628471375,0.014606893062591553,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,149,18662,AAF0535:219,IJM0776:186,0.5,0.7083654999732971,0.6184844374656677,-0.0898810625076294,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,150,123,AAF0535:220,AAF0535:182,1.0,0.8035613894462585,0.7757712006568909,-0.027790188789367676,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,151,18679,AAF0535:221,IJM0776:212,0.5,0.6711056232452393,0.6075809597969055,-0.06352466344833374,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,152,134,AAF0535:224,AAF0535:198,0.5,0.7212982177734375,0.7836293578147888,0.06233114004135132,5,6,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,153,18692,AAF0535:225,IJM0776:231,0.5,0.7452123761177063,0.8310037851333618,0.08579140901565552,5,6,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,154,8769,AAF0535:226,CQW0652:451,0.5,0.6582468152046204,0.6332914233207703,-0.024955391883850098,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,155,125,AAF0535:227,AAF0535:184,0.25,0.7457302808761597,0.8065041303634644,0.06077384948730469,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,156,18681,AAF0535:228,IJM0776:214,0.5,0.7299844026565552,0.7845273017883301,0.0545428991317749,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,365,8751,AAM0658:294,CQW0652:427,1.0,0.41786083579063416,0.43936866521835327,0.021507829427719116,5,6,"[6378, 3022, 1063, 886, 5508]",False,False
