layer,latent_mult,k,context_mode,target,n_receivers,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage,top_minus_control_advantage
26,4,8,role,top5,1309,0.0041384787346407876,0.0036021244830990494,0.004575607736116151,0.004299896912232349,-0.0005363542515417381,-0.0002757108238838025,-0.0002606434276579356
26,4,8,team,top5,1309,0.004137231488096705,0.00357920591661819,0.004563457632083033,0.004309664742922947,-0.0005580255714785153,-0.0002537928891600868,-0.0003042326823184285
26,4,8,dept,top5,1309,0.004209636492160916,0.0036695693926195594,0.004492446632217687,0.004315349496075723,-0.0005400670995413569,-0.0001770971361419642,-0.0003629699633993927
26,4,8,role,top3,1309,0.0034911712450868214,0.0027656359832827783,0.004575607736116151,0.004299896912232349,-0.0007255352618040431,-0.0002757108238838025,-0.0004498244379202406
26,4,8,team,top3,1309,0.003637846983326037,0.0029127301265484875,0.004563457632083033,0.004309664742922947,-0.0007251168567775496,-0.0002537928891600868,-0.00047132396761746277
26,4,8,dept_role,top5,1309,0.004249086969221157,0.0036254960722008948,0.004527853077563555,0.0044011463638113325,-0.0006235908970202626,-0.00012670671375222212,-0.0004968841832680405
26,4,8,dept,top3,1309,0.003441912115667502,0.0027548982793816727,0.004492446632217687,0.004315349496075723,-0.0006870138362858294,-0.0001770971361419642,-0.0005099167001438652
26,4,8,dept,top1,1309,0.012918482182406578,0.012195299255019203,0.004492446632217687,0.004315349496075723,-0.0007231829273873745,-0.0001770971361419642,-0.0005460857912454103
26,4,8,dept_role,top3,1309,0.0035097196276994767,0.0028053579483440214,0.004527853077563555,0.0044011463638113325,-0.0007043616793554553,-0.00012670671375222212,-0.0005776549656032332
26,4,8,role,top1,1309,0.012907002755847025,0.012022083307878947,0.004575607736116151,0.004299896912232349,-0.0008849194479680772,-0.0002757108238838025,-0.0006092086240842747
26,4,8,team,top1,1309,0.013086136888692724,0.012107664228305278,0.004563457632083033,0.004309664742922947,-0.0009784726603874454,-0.0002537928891600868,-0.0007246797712273587
26,4,8,dept_role,top1,1309,0.012939956417695724,0.01207577253316904,0.004527853077563555,0.0044011463638113325,-0.0008641838845266838,-0.00012670671375222212,-0.0007374771707744617
