layer,latent_mult,k,context_mode,target,n_receivers,estimate,ci_low,ci_high,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage
34,4,4,dept_role,top5,1309,0.00011919849787712746,-3.766081031949661e-05,0.0002803625292774375,0.0038937585808285482,0.0034860120168435237,-0.0005999842361241846,-0.001126929297986334,-0.00040774656398502454,-0.0005269450618621494
34,4,4,role,top5,1309,0.00011290122617557066,-4.564106145644248e-05,0.0002797606692139307,0.0038894897111961145,0.0034754458755095353,-0.0005999842361241846,-0.001126929297986334,-0.0004140438356865792,-0.0005269450618621494
34,4,4,team,top5,1309,9.936401641851614e-05,-6.9732521215955e-05,0.0002703601985350197,0.0038840140637957984,0.003533725204861188,-0.0005999842361241846,-0.00104963711147731,-0.0003502888589346103,-0.0004496528753531254
34,4,4,dept_role,top3,1309,9.558209260061867e-05,-6.378705437580372e-05,0.00025990921107524323,0.00394068949772621,0.0035093265284646784,-0.0005999842361241846,-0.001126929297986334,-0.0004313629692615315,-0.0005269450618621494
34,4,4,role,top3,1309,8.895282894714392e-05,-6.65562095033738e-05,0.00025142388285982346,0.00394985231167492,0.003511860078759915,-0.0005999842361241846,-0.001126929297986334,-0.00043799223291500445,-0.0005269450618621494
34,4,4,dept_role,top1,1309,8.356276361700007e-05,-7.064119664378753e-05,0.0002449971264423148,0.003823272274868277,0.0033798899766231284,-0.0005999842361241846,-0.001126929297986334,-0.0004433822982451486,-0.0005269450618621494
34,4,4,role,top1,1309,7.799191498592528e-05,-7.56101112178129e-05,0.00023911549411628828,0.003820637615242466,0.0033716844683662427,-0.0005999842361241846,-0.001126929297986334,-0.0004489531468762232,-0.0005269450618621494
34,4,4,team,top3,1309,7.28063564249547e-05,-9.656960160291443e-05,0.0002433234081526027,0.003936392795137994,0.0035595462762098226,-0.0005999842361241846,-0.00104963711147731,-0.0003768465189281714,-0.0004496528753531254
34,4,4,team,top1,1309,6.437849187960298e-05,-0.00010591820536951149,0.00022926430457689145,0.0038218078060492525,0.0034365334225757295,-0.0005999842361241846,-0.00104963711147731,-0.000385274383473523,-0.0004496528753531254
34,4,4,dept,top5,1309,-9.138169545450014e-05,-0.00024237041002334768,5.527019808090028e-05,0.003882419036216093,0.0034548328453753146,-0.0005999842361241846,-0.0009361887315104632,-0.0004275861908407783,-0.00033620449538627865
34,4,4,dept,top3,1309,-0.00010590710605347411,-0.000255754076633135,3.975209153226857e-05,0.003949479133778618,0.0035073675323388674,-0.0005999842361241846,-0.0009361887315104632,-0.0004421116014397507,-0.00033620449538627865
34,4,4,dept,top1,1309,-0.00011548099397611166,-0.0002594894807105574,2.2811401063382597e-05,0.003829025637110827,0.0033773401477484376,-0.0005999842361241846,-0.0009361887315104632,-0.00045168548936238943,-0.00033620449538627865
