layer,latent_mult,k,context_mode,feature_set,donor_type,receiver_row_idx,donor_row_idx,receiver_example_id,donor_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,repair,strong_repair
26,2,4,dept,control5_active,anomalous,120,18665,AAF0535:177,IJM0776:192,0.75,0.6642510294914246,0.6075525283813477,-0.056698501110076904,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,121,26062,AAF0535:178,LJR0523:210,0.75,0.6663397550582886,0.5351154208183289,-0.13122433423995972,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,122,18696,AAF0535:179,IJM0776:235,0.75,0.6935533285140991,0.6014118194580078,-0.09214150905609131,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,123,8760,AAF0535:182,CQW0652:438,0.75,0.7877082228660583,0.7102891802787781,-0.07741904258728027,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,124,18697,AAF0535:183,IJM0776:238,0.25,0.7554174661636353,0.6122502088546753,-0.14316725730895996,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,125,18690,AAF0535:184,IJM0776:227,0.25,0.7574955224990845,0.6938899755477905,-0.06360554695129395,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,126,18675,AAF0535:185,IJM0776:206,0.25,0.772983193397522,0.7107605934143066,-0.06222259998321533,5,7,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,127,8773,AAF0535:186,CQW0652:457,0.75,0.7508953213691711,0.6849595904350281,-0.06593573093414307,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,128,367,AAF0535:190,AAM0658:296,0.75,0.7869153618812561,0.7212661504745483,-0.06564921140670776,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,129,18699,AAF0535:191,IJM0776:240,0.5,0.7290868759155273,0.6039227843284607,-0.12516409158706665,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,130,8745,AAF0535:192,CQW0652:417,0.75,0.7120859622955322,0.6355386972427368,-0.07654726505279541,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,131,18696,AAF0535:193,IJM0776:235,1.0,0.7550401091575623,0.7020125389099121,-0.053027570247650146,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,132,18678,AAF0535:196,IJM0776:211,0.75,0.7067357897758484,0.5580412149429321,-0.14869457483291626,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,133,8773,AAF0535:197,CQW0652:457,0.5,0.6375216841697693,0.5368869304656982,-0.10063475370407104,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,134,18679,AAF0535:198,IJM0776:212,0.25,0.6948560476303101,0.5654029250144958,-0.1294531226158142,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,135,18697,AAF0535:199,IJM0776:238,0.25,0.780369222164154,0.6210352778434753,-0.1593339443206787,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,136,8760,AAF0535:200,CQW0652:438,1.0,0.7988911271095276,0.7104160785675049,-0.0884750485420227,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,137,8776,AAF0535:203,CQW0652:462,1.0,0.7146658897399902,0.5917651057243347,-0.12290078401565552,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,138,18681,AAF0535:204,IJM0776:214,0.75,0.7448335886001587,0.6549769043922424,-0.08985668420791626,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,139,8777,AAF0535:205,CQW0652:463,0.5,0.8064968585968018,0.7247418761253357,-0.08175498247146606,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,140,18661,AAF0535:206,IJM0776:185,0.25,0.7696434855461121,0.6955936551094055,-0.07404983043670654,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,141,18669,AAF0535:207,IJM0776:198,0.5,0.700839102268219,0.602374792098999,-0.09846431016921997,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,142,18686,AAF0535:210,IJM0776:221,0.25,0.7704856991767883,0.601887583732605,-0.16859811544418335,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,143,26069,AAF0535:211,LJR0523:218,0.5,0.6711767911911011,0.5706881284713745,-0.10048866271972656,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,144,8774,AAF0535:212,CQW0652:458,0.25,0.7024187445640564,0.5660319924354553,-0.13638675212860107,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,145,8745,AAF0535:213,CQW0652:417,0.5,0.6447783708572388,0.6341978311538696,-0.01058053970336914,5,6,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,146,18698,AAF0535:214,IJM0776:239,0.5,0.6565871834754944,0.594258725643158,-0.062328457832336426,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,147,18665,AAF0535:217,IJM0776:192,0.5,0.651986837387085,0.6549733281135559,0.0029864907264709473,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,148,8777,AAF0535:218,CQW0652:463,0.25,0.7151181697845459,0.7291241884231567,0.01400601863861084,5,5,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,149,8779,AAF0535:219,CQW0652:465,0.75,0.7083654999732971,0.6398252248764038,-0.06854027509689331,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,150,18676,AAF0535:220,IJM0776:207,0.25,0.8035613894462585,0.7957577109336853,-0.007803678512573242,5,3,"[6378, 3022, 1063, 886, 5508]",True,False
26,2,4,dept,control5_active,anomalous,151,18698,AAF0535:221,IJM0776:239,1.0,0.6711056232452393,0.6085125207901001,-0.06259310245513916,5,3,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,152,8745,AAF0535:224,CQW0652:417,1.0,0.7212982177734375,0.7902612686157227,0.06896305084228516,5,6,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,153,8765,AAF0535:225,CQW0652:445,0.25,0.7452123761177063,0.8333254456520081,0.08811306953430176,5,6,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,154,8756,AAF0535:226,CQW0652:434,0.75,0.6582468152046204,0.6370773911476135,-0.021169424057006836,5,4,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,155,18701,AAF0535:227,IJM0776:242,0.5,0.7457302808761597,0.8138849139213562,0.06815463304519653,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,156,18696,AAF0535:228,IJM0776:235,0.25,0.7299844026565552,0.7883699536323547,0.05838555097579956,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,365,26062,AAM0658:294,LJR0523:210,0.5,0.41786083579063416,0.4412010908126831,0.02334025502204895,5,6,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,366,18695,AAM0658:295,IJM0776:234,0.25,0.42354512214660645,0.5516116619110107,0.1280665397644043,5,4,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,367,18689,AAM0658:296,IJM0776:226,0.5,0.4971480369567871,0.48045235872268677,-0.016695678234100342,5,5,"[6378, 3022, 1063, 886, 5508]",True,True
26,2,4,dept,control5_active,anomalous,368,18669,AAM0658:297,IJM0776:198,0.75,0.541286289691925,0.6610824465751648,0.11979615688323975,5,3,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,369,12263,AAM0658:298,FMG0527:373,0.25,0.46184322237968445,0.5210792422294617,0.05923601984977722,5,6,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,370,139,AAM0658:299,AAF0535:205,0.75,0.7609379291534424,0.8253560662269592,0.06441813707351685,5,1,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,635,26610,ABC0174:298,LQC0479:259,0.5,0.362052857875824,0.4397982954978943,0.07774543762207031,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,636,16352,ABC0174:301,HJB0742:324,0.5,0.37957626581192017,0.46088847517967224,0.08131220936775208,5,8,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,637,12990,ABC0174:302,FSC0601:417,0.5,0.3486284911632538,0.4753754734992981,0.1267469823360443,5,9,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,638,41737,ABC0174:303,XHW0498:228,1.0,0.39304330945014954,0.5081095695495605,0.11506626009941101,5,11,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,639,41755,ABC0174:304,XHW0498:255,1.0,0.37307992577552795,0.4335021674633026,0.06042224168777466,5,4,"[6378, 3022, 1063, 886, 5508]",False,False
26,2,4,dept,control5_active,anomalous,640,41742,ABC0174:305,XHW0498:235,0.5,0.39496082067489624,0.45411545038223267,0.059154629707336426,5,7,"[6378, 3022, 1063, 886, 5508]",False,False
