layer,latent_mult,k,context_mode,target,n_receivers,estimate,ci_low,ci_high,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage
18,4,4,dept,top5,1309,-0.0009408976805856696,-0.0011668362554427415,-0.0007189022028509953,-0.01357008187801807,-0.01526079671222622,-0.02470633710860477,-0.025456154262227255,-0.0016907148342081516,-0.0007498171536224861
18,4,4,dept,top3,1309,-0.0009537298684815952,-0.0011842519986870826,-0.0007342456738237572,-0.01340381526783097,-0.015107362289935053,-0.02470633710860477,-0.025456154262227255,-0.0017035470221040822,-0.0007498171536224861
18,4,4,dept,top1,1309,-0.0010431085473440176,-0.0012687614502070769,-0.0008199757473035305,-0.013053898175223531,-0.014846823876190034,-0.02470633710860477,-0.025456154262227255,-0.0017929257009665026,-0.0007498171536224861
18,4,4,dept_role,top3,1309,-0.0010659207452609358,-0.0013733088967338412,-0.0007659777455356247,-0.013411883068412563,-0.01704292877017313,-0.024762073826298078,-0.027327198782797706,-0.0036310457017605657,-0.002565124956499628
18,4,4,team,top3,1309,-0.0010893695494707863,-0.001403491680259188,-0.0007842734194238995,-0.013462728835682178,-0.01765998481930076,-0.024668660962554302,-0.027776547396702097,-0.004197255983618581,-0.0031078864341477948
18,4,4,dept_role,top5,1309,-0.0011138740480173778,-0.0014284757813303535,-0.0008137110939478451,-0.013568041841887262,-0.017247040846404268,-0.024762073826298078,-0.027327198782797706,-0.0036789990045170053,-0.002565124956499628
18,4,4,role,top3,1309,-0.0011729354435838384,-0.0014866135049699549,-0.0008619056037016008,-0.013441546066650642,-0.017070333849755377,-0.024814496350434097,-0.027270348689954992,-0.003628787783104735,-0.0024558523395208955
18,4,4,team,top5,1309,-0.0012009885813827415,-0.0015198380321355268,-0.0008914977377543788,-0.013573458522125633,-0.017882333537656166,-0.024668660962554302,-0.027776547396702097,-0.004308875015530534,-0.0031078864341477948
18,4,4,role,top5,1309,-0.001210305153913768,-0.00152774312262366,-0.0008961014956167607,-0.013571647717990975,-0.017237805211425643,-0.024814496350434097,-0.027270348689954992,-0.003666157493434668,-0.0024558523395208955
18,4,4,dept_role,top1,1309,-0.001214753827855636,-0.0015306893258011857,-0.0009076736531610923,-0.01305557377607973,-0.016835452560434998,-0.024762073826298078,-0.027327198782797706,-0.003779878784355267,-0.002565124956499628
18,4,4,role,top1,1309,-0.001328372449889448,-0.0016405730728114073,-0.0010197967808833102,-0.013049624615538836,-0.016833849404949187,-0.024814496350434097,-0.027270348689954992,-0.0037842247894103506,-0.0024558523395208955
18,4,4,team,top1,1309,-0.0013302722739481165,-0.0016491005138826293,-0.0010246133737727059,-0.01305341647725874,-0.017491575185354647,-0.024668660962554302,-0.027776547396702097,-0.004438158708095908,-0.0031078864341477948
