layer,latent_mult,k,context_mode,target,n_receivers,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage,top_minus_control_advantage
18,4,4,dept,top5,1309,-0.01357008187801807,-0.015260796712226226,-0.024706337108604776,-0.025456154262227262,-0.0016907148342081568,-0.0007498171536224861,-0.0009408976805856707
18,4,4,dept,top3,1309,-0.013403815267830974,-0.015107362289935054,-0.024706337108604776,-0.025456154262227262,-0.0017035470221040804,-0.0007498171536224861,-0.0009537298684815943
18,4,4,dept,top1,1309,-0.013053898175223535,-0.01484682387619004,-0.024706337108604776,-0.025456154262227262,-0.0017929257009665044,-0.0007498171536224861,-0.0010431085473440183
18,4,4,dept_role,top3,1309,-0.013411883068412565,-0.017042928770173132,-0.024762073826298085,-0.027327198782797713,-0.0036310457017605675,-0.002565124956499628,-0.0010659207452609395
18,4,4,team,top3,1309,-0.01346272883568218,-0.017659984819300763,-0.024668660962554313,-0.027776547396702107,-0.004197255983618583,-0.0031078864341477948,-0.001089369549470788
18,4,4,dept_role,top5,1309,-0.013568041841887262,-0.01724704084640427,-0.024762073826298085,-0.027327198782797713,-0.003678999004517009,-0.002565124956499628,-0.0011138740480173808
18,4,4,role,top3,1309,-0.013441546066650642,-0.017070333849755384,-0.0248144963504341,-0.027270348689955003,-0.003628787783104742,-0.0024558523395209024,-0.0011729354435838397
18,4,4,team,top5,1309,-0.013573458522125634,-0.017882333537656173,-0.024668660962554313,-0.027776547396702107,-0.004308875015530539,-0.0031078864341477948,-0.001200988581382744
18,4,4,role,top5,1309,-0.013571647717990977,-0.017237805211425646,-0.0248144963504341,-0.027270348689955003,-0.0036661574934346696,-0.0024558523395209024,-0.0012103051539137672
18,4,4,dept_role,top1,1309,-0.013055573776079736,-0.016835452560435005,-0.024762073826298085,-0.027327198782797713,-0.0037798787843552686,-0.002565124956499628,-0.0012147538278556406
18,4,4,role,top1,1309,-0.01304962461553884,-0.01683384940494919,-0.0248144963504341,-0.027270348689955003,-0.0037842247894103506,-0.0024558523395209024,-0.0013283724498894482
18,4,4,team,top1,1309,-0.01305341647725874,-0.017491575185354654,-0.024668660962554313,-0.027776547396702107,-0.004438158708095915,-0.0031078864341477948,-0.0013302722739481198
