layer,latent_mult,k,context_mode,feature_set,donor_type,receiver_row_idx,donor_row_idx,receiver_example_id,donor_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,repair,strong_repair
18,4,4,dept_role,control5_active,anomalous,1692,30009,ACM2278:228,CMP2946:406,1.0,0.34236299991607666,0.3826224207878113,0.04025942087173462,5,4,"[7811, 10617, 2187, 5024, 8679]",False,False
18,4,4,dept_role,control5_active,anomalous,1693,30010,ACM2278:231,CMP2946:407,1.0,0.3368968963623047,0.3759293258190155,0.039032429456710815,5,4,"[7811, 10617, 2187, 5024, 8679]",False,False
18,4,4,dept_role,control5_active,anomalous,1694,30010,ACM2278:232,CMP2946:407,1.0,0.3103208541870117,0.34708788990974426,0.036767035722732544,5,4,"[7811, 10617, 2187, 5024, 8679]",False,False
18,4,4,dept_role,control5_active,anomalous,1695,1693,ACM2278:233,ACM2278:231,1.0,0.444414883852005,0.4990369379520416,0.05462205410003662,5,4,"[7811, 10617, 2187, 5024, 8679]",False,False
18,4,4,dept_role,control5_active,anomalous,1696,30015,ACM2278:234,CMP2946:414,0.75,0.4246574342250824,0.4773995280265808,0.05274209380149841,5,6,"[7811, 10617, 2187, 5024, 8679]",False,False
18,4,4,dept_role,control5_active,anomalous,25375,25402,CDE1846:415,CDE1846:452,0.75,0.48000627756118774,0.4281752109527588,-0.051831066608428955,5,6,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25376,25420,CDE1846:416,CDE1846:478,0.75,0.476402223110199,0.43176206946372986,-0.044640153646469116,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25377,25402,CDE1846:417,CDE1846:452,0.75,0.4381938576698303,0.38600340485572815,-0.05219045281410217,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25378,25418,CDE1846:420,CDE1846:476,1.0,0.41655200719833374,0.3697282373905182,-0.04682376980781555,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25379,25376,CDE1846:421,CDE1846:416,1.0,0.4224047064781189,0.3597670793533325,-0.06263762712478638,5,6,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25380,83551,CDE1846:422,MBG3183:283,1.0,0.4740689694881439,0.38990890979766846,-0.08416005969047546,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25381,25388,CDE1846:423,CDE1846:434,1.0,0.4615910053253174,0.38783660531044006,-0.07375440001487732,5,7,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25382,83551,CDE1846:424,MBG3183:283,1.0,0.4656012952327728,0.38678544759750366,-0.07881584763526917,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25383,25402,CDE1846:427,CDE1846:452,1.0,0.4605143070220947,0.3958177864551544,-0.06469652056694031,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25384,25392,CDE1846:428,CDE1846:438,1.0,0.4696827530860901,0.40774860978126526,-0.06193414330482483,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25385,25415,CDE1846:429,CDE1846:471,1.0,0.48370906710624695,0.4196954667568207,-0.06401360034942627,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25386,25392,CDE1846:430,CDE1846:438,1.0,0.4298016130924225,0.3715275824069977,-0.058274030685424805,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25387,25392,CDE1846:431,CDE1846:438,1.0,0.46182042360305786,0.4028654098510742,-0.05895501375198364,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25388,25390,CDE1846:434,CDE1846:436,1.0,0.41756606101989746,0.3705803155899048,-0.046985745429992676,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25389,25390,CDE1846:435,CDE1846:436,1.0,0.4810541868209839,0.4359357953071594,-0.04511839151382446,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25390,25400,CDE1846:436,CDE1846:450,0.5,0.4580255448818207,0.41275209188461304,-0.04527345299720764,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25391,25379,CDE1846:437,CDE1846:421,1.0,0.454647958278656,0.4102541506290436,-0.04439380764961243,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25392,25404,CDE1846:438,CDE1846:456,1.0,0.453688383102417,0.4117293953895569,-0.04195898771286011,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25393,25407,CDE1846:441,CDE1846:459,1.0,0.4744405746459961,0.42000100016593933,-0.05443957448005676,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25394,25377,CDE1846:442,CDE1846:417,1.0,0.4234159290790558,0.36986032128334045,-0.05355560779571533,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25395,25379,CDE1846:443,CDE1846:421,1.0,0.48396870493888855,0.42956843972206116,-0.05440026521682739,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25396,25386,CDE1846:444,CDE1846:430,1.0,0.4358266294002533,0.37102776765823364,-0.06479886174201965,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25397,25379,CDE1846:445,CDE1846:421,1.0,0.4287758469581604,0.36957260966300964,-0.05920323729515076,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25398,25381,CDE1846:448,CDE1846:423,0.75,0.45171621441841125,0.38840144872665405,-0.0633147656917572,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25399,25404,CDE1846:449,CDE1846:456,1.0,0.5384507179260254,0.48577481508255005,-0.05267590284347534,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25400,25375,CDE1846:450,CDE1846:415,1.0,0.4665936231613159,0.40069979429244995,-0.06589382886886597,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25401,25409,CDE1846:451,CDE1846:463,1.0,0.4562937617301941,0.38832831382751465,-0.06796544790267944,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25402,25390,CDE1846:452,CDE1846:436,1.0,0.4688948690891266,0.4063216745853424,-0.06257319450378418,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25403,25387,CDE1846:455,CDE1846:431,0.75,0.437348872423172,0.3638416528701782,-0.07350721955299377,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25404,25388,CDE1846:456,CDE1846:434,0.25,0.4546266794204712,0.39015647768974304,-0.06447020173072815,5,6,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25405,25400,CDE1846:457,CDE1846:450,0.75,0.4495765268802643,0.37098973989486694,-0.07858678698539734,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25406,25400,CDE1846:458,CDE1846:450,0.75,0.47377797961235046,0.3939307928085327,-0.07984718680381775,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25407,25420,CDE1846:459,CDE1846:478,1.0,0.4813075065612793,0.4044675827026367,-0.07683992385864258,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25408,25419,CDE1846:462,CDE1846:477,0.25,0.44189369678497314,0.38457411527633667,-0.057319581508636475,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25409,25403,CDE1846:463,CDE1846:455,0.25,0.4770914614200592,0.4196377694606781,-0.057453691959381104,5,6,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25410,25407,CDE1846:464,CDE1846:459,1.0,0.44748130440711975,0.38818618655204773,-0.05929511785507202,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25411,83551,CDE1846:465,MBG3183:283,1.0,0.4379540681838989,0.388541579246521,-0.04941248893737793,5,6,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25412,25419,CDE1846:466,CDE1846:477,0.25,0.4663989841938019,0.4126491844654083,-0.053749799728393555,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25413,25404,CDE1846:469,CDE1846:456,0.25,0.5547977685928345,0.4845309853553772,-0.07026678323745728,5,6,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25414,25397,CDE1846:470,CDE1846:445,0.75,0.5187341570854187,0.4480731189250946,-0.0706610381603241,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25415,25390,CDE1846:471,CDE1846:436,0.25,0.4709838032722473,0.4016369581222534,-0.0693468451499939,5,4,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25416,25390,CDE1846:472,CDE1846:436,0.25,0.4431593418121338,0.3725234866142273,-0.0706358551979065,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25417,25404,CDE1846:473,CDE1846:456,0.25,0.510485053062439,0.4481983780860901,-0.06228667497634888,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25418,25404,CDE1846:476,CDE1846:456,0.5,0.45957010984420776,0.4146149158477783,-0.04495519399642944,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25419,25381,CDE1846:477,CDE1846:423,0.5,0.48583829402923584,0.44415056705474854,-0.041687726974487305,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,25420,25414,CDE1846:478,CDE1846:470,1.0,0.4507943093776703,0.41023993492126465,-0.04055437445640564,5,5,"[7811, 10617, 2187, 5024, 8679]",True,True
18,4,4,dept_role,control5_active,anomalous,30006,30015,CMP2946:401,CMP2946:414,0.25,0.4071964919567108,0.42290908098220825,0.015712589025497437,5,6,"[7811, 10617, 2187, 5024, 8679]",False,False
18,4,4,dept_role,control5_active,anomalous,30007,30010,CMP2946:402,CMP2946:407,0.25,0.35271212458610535,0.37275752425193787,0.02004539966583252,5,4,"[7811, 10617, 2187, 5024, 8679]",False,False
18,4,4,dept_role,control5_active,anomalous,30008,30019,CMP2946:403,CMP2946:420,0.5,0.4106225371360779,0.4329235255718231,0.02230098843574524,5,5,"[7811, 10617, 2187, 5024, 8679]",False,False
18,4,4,dept_role,control5_active,anomalous,30009,30010,CMP2946:406,CMP2946:407,1.0,0.5697546005249023,0.5901969075202942,0.020442306995391846,5,5,"[7811, 10617, 2187, 5024, 8679]",False,False
18,4,4,dept_role,control5_active,anomalous,30010,30017,CMP2946:407,CMP2946:416,0.5,0.4113714098930359,0.40934088826179504,-0.0020305216312408447,5,5,"[7811, 10617, 2187, 5024, 8679]",True,False
18,4,4,dept_role,control5_active,anomalous,30011,30017,CMP2946:408,CMP2946:416,0.5,0.42193537950515747,0.41266539692878723,-0.00926998257637024,5,5,"[7811, 10617, 2187, 5024, 8679]",True,False
18,4,4,dept_role,control5_active,anomalous,30012,30017,CMP2946:409,CMP2946:416,0.5,0.3991337716579437,0.3904202878475189,-0.008713483810424805,5,6,"[7811, 10617, 2187, 5024, 8679]",True,False
18,4,4,dept_role,control5_active,anomalous,30013,30017,CMP2946:410,CMP2946:416,0.5,0.3866937458515167,0.3875744044780731,0.0008806586265563965,5,5,"[7811, 10617, 2187, 5024, 8679]",False,False
18,4,4,dept_role,control5_active,anomalous,30014,1693,CMP2946:413,ACM2278:231,0.75,0.4019182026386261,0.3948720097541809,-0.00704619288444519,5,5,"[7811, 10617, 2187, 5024, 8679]",True,False
18,4,4,dept_role,control5_active,anomalous,30015,30016,CMP2946:414,CMP2946:415,1.0,0.39600488543510437,0.38963234424591064,-0.006372541189193726,5,5,"[7811, 10617, 2187, 5024, 8679]",True,False
18,4,4,dept_role,control5_active,anomalous,30016,30020,CMP2946:415,CMP2946:421,0.75,0.4086405634880066,0.4111681282520294,0.002527564764022827,5,5,"[7811, 10617, 2187, 5024, 8679]",False,False
18,4,4,dept_role,control5_active,anomalous,30017,30021,CMP2946:416,CMP2946:422,1.0,0.32742437720298767,0.32425710558891296,-0.003167271614074707,5,6,"[7811, 10617, 2187, 5024, 8679]",True,False
