layer,latent_mult,k,context_mode,target,n_receivers,estimate,ci_low,ci_high,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage
18,4,8,role,top5,70,0.018769462193761546,0.01344351813197136,0.024649083582418307,-0.06819695532321927,-0.049699762037822164,-0.010639152782303929,-0.010911421690668359,0.01849719328539711,-0.00027226890836442967
18,4,8,dept_role,top5,70,0.016588417972837173,0.012042239244495118,0.021516145957367748,-0.06572895944118497,-0.049699762037822164,-0.010352201121194005,-0.010911421690668359,0.016029197403362803,-0.000559220569474354
18,4,8,project_role,top5,70,0.016074880957603444,0.011504618919321466,0.020973276016967628,-0.06533780353409901,-0.049699762037822164,-0.010474582229341764,-0.010911421690668359,0.01563804149627685,-0.0004368394613265946
18,4,8,team,top5,70,0.008216139248439234,0.005513475601162223,0.010974416924374434,-0.05162278498922073,-0.04411159796374183,-0.010700279900005874,-0.011405232122966204,0.007511187025478899,-0.0007049522229603308
18,4,8,team,top3,70,0.0018051879746573288,0.0004312409247670848,0.003329081333109305,-0.012720431600298177,-0.01162019584860118,-0.010700279900005874,-0.011405232122966204,0.001100235751696996,-0.0007049522229603308
18,4,8,dept_role,top3,70,0.0005360343626567371,-0.0009628995507955419,0.002087565958499918,-0.011975933824266694,-0.01199912003108431,-0.010352201121194005,-0.010911421690668359,-2.3186206817616545e-05,-0.000559220569474354
18,4,8,project_role,top3,70,-0.0001710295677185016,-0.0017429490068129067,0.001405562226261411,-0.011391251002039212,-0.01199912003108431,-0.010474582229341764,-0.010911421690668359,-0.0006078690290450984,-0.0004368394613265946
18,4,8,role,top3,70,-0.00034354201384952446,-0.0018742491198437549,0.001109218682561613,-0.011383309108870355,-0.01199912003108431,-0.010639152782303929,-0.010911421690668359,-0.0006158109222139559,-0.00027226890836442967
18,4,8,team,top1,70,-0.0016346931457519517,-0.002515401712485723,-0.0008015527576208122,-0.011425289937428045,-0.013764935306140329,-0.010700279900005874,-0.011405232122966204,-0.0023396453687122842,-0.0007049522229603308
18,4,8,role,top1,70,-0.0037190398999622817,-0.004863426866275916,-0.0026581376684563446,-0.008930861949920637,-0.012922170758247345,-0.010639152782303929,-0.010911421690668359,-0.003991308808326708,-0.00027226890836442967
18,4,8,project_role,top1,70,-0.0038970742906842865,-0.005063199528626021,-0.002877303212881079,-0.008588257006236463,-0.012922170758247345,-0.010474582229341764,-0.010911421690668359,-0.004333913752010882,-0.0004368394613265946
18,4,8,dept_role,top1,70,-0.004100559013230456,-0.005133359229990407,-0.0030583952367305707,-0.008262391175542536,-0.012922170758247345,-0.010352201121194005,-0.010911421690668359,-0.004659779582704809,-0.000559220569474354
