layer,latent_mult,k,context_mode,feature_set,donor_type,receiver_row_idx,donor_row_idx,receiver_example_id,donor_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,repair,strong_repair
18,4,8,dept_role,control3,anomalous,1692,30018,ACM2278:228,CMP2946:417,0.5,0.34236299991607666,0.35948002338409424,0.017117023468017578,3,29,"[2044, 5489, 4062]",False,False
18,4,8,dept_role,control3,anomalous,1693,30021,ACM2278:231,CMP2946:422,0.25,0.3368968963623047,0.3564983308315277,0.019601434469223022,3,37,"[2044, 5489, 4062]",False,False
18,4,8,dept_role,control3,anomalous,1694,30011,ACM2278:232,CMP2946:408,0.5,0.3103208541870117,0.32450976967811584,0.014188915491104126,3,45,"[2044, 5489, 4062]",False,False
18,4,8,dept_role,control3,anomalous,1695,30006,ACM2278:233,CMP2946:401,1.0,0.444414883852005,0.46485674381256104,0.02044185996055603,3,24,"[2044, 5489, 4062]",False,False
18,4,8,dept_role,control3,anomalous,1696,30016,ACM2278:234,CMP2946:415,1.0,0.4246574342250824,0.4555063843727112,0.030848950147628784,3,16,"[2044, 5489, 4062]",False,False
18,4,8,dept_role,control3,anomalous,25375,25403,CDE1846:415,CDE1846:455,0.5,0.48000627756118774,0.4531049430370331,-0.026901334524154663,3,20,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25376,25401,CDE1846:416,CDE1846:451,1.0,0.476402223110199,0.4619886875152588,-0.014413535594940186,3,16,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25377,25401,CDE1846:417,CDE1846:451,1.0,0.4381938576698303,0.4259926378726959,-0.0122012197971344,3,14,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25378,25394,CDE1846:420,CDE1846:442,0.5,0.41655200719833374,0.36853042244911194,-0.0480215847492218,3,25,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25379,25380,CDE1846:421,CDE1846:422,1.0,0.4224047064781189,0.37657952308654785,-0.045825183391571045,3,19,"[2044, 5489, 4062]",True,True
