layer,latent_mult,k,context_mode,feature_set,donor_type,receiver_row_idx,donor_row_idx,receiver_example_id,donor_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,repair,strong_repair
18,4,4,team,control3,anomalous,1693,1692,ACM2278:231,ACM2278:228,1.0,0.3368968963623047,0.3398704528808594,0.0029735565185546875,3,0,"[33, 36, 233]",False,False
18,4,4,team,control3,anomalous,1694,1693,ACM2278:232,ACM2278:231,1.0,0.3103208541870117,0.31210559606552124,0.0017847418785095215,3,0,"[33, 36, 233]",False,False
18,4,4,team,control3,anomalous,25389,25386,CDE1846:435,CDE1846:430,1.0,0.4810541868209839,0.48259103298187256,0.0015368461608886719,3,0,"[33, 36, 233]",False,False
18,4,4,team,control3,anomalous,25396,25383,CDE1846:444,CDE1846:427,1.0,0.4358266294002533,0.4392387568950653,0.0034121274948120117,3,0,"[33, 36, 233]",False,False
18,4,4,team,control3,anomalous,25401,25375,CDE1846:451,CDE1846:415,1.0,0.4562937617301941,0.45828789472579956,0.0019941329956054688,3,0,"[33, 36, 233]",False,False
18,4,4,team,control3,anomalous,25408,25375,CDE1846:462,CDE1846:415,1.0,0.44189369678497314,0.43845275044441223,-0.003440946340560913,3,0,"[33, 36, 233]",True,False
18,4,4,team,control3,anomalous,25411,25401,CDE1846:465,CDE1846:451,1.0,0.4379540681838989,0.4373301863670349,-0.0006238818168640137,3,0,"[33, 36, 233]",True,False
18,4,4,team,control3,anomalous,30013,30006,CMP2946:410,CMP2946:401,1.0,0.3866937458515167,0.3870602250099182,0.00036647915840148926,3,0,"[33, 36, 233]",False,False
18,4,4,team,control3,benign,25375,21042,CDE1846:415,BXK2091:323,1.0,0.48000627756118774,0.46784424781799316,-0.01216202974319458,3,0,"[33, 36, 233]",True,True
18,4,4,team,control3,benign,25398,21136,CDE1846:448,BXK2091:462,1.0,0.45171621441841125,0.45523694157600403,0.0035207271575927734,3,0,"[33, 36, 233]",False,False
18,4,4,team,control3,benign,25399,20979,CDE1846:449,BXK2091:233,1.0,0.5384507179260254,0.539609968662262,0.0011592507362365723,3,0,"[33, 36, 233]",False,False
18,4,4,team,control3,benign,25412,25215,CDE1846:466,CDE1846:182,1.0,0.4663989841938019,0.4640255868434906,-0.0023733973503112793,3,0,"[33, 36, 233]",True,False
18,4,4,team,control3,benign,25418,20937,CDE1846:476,BXK2091:172,1.0,0.45957010984420776,0.4584183990955353,-0.0011517107486724854,3,0,"[33, 36, 233]",True,False
18,4,4,team,control3,benign,25419,21157,CDE1846:477,BXK2091:492,1.0,0.48583829402923584,0.48449763655662537,-0.0013406574726104736,3,0,"[33, 36, 233]",True,False
18,4,4,team,control3,benign,30013,29928,CMP2946:410,CMP2946:284,1.0,0.3866937458515167,0.3870602250099182,0.00036647915840148926,3,0,"[33, 36, 233]",False,False
18,4,4,team,control3,benign,30023,50407,CMP2946:424,GRL2886:226,1.0,0.342947781085968,0.3366524279117584,-0.006295353174209595,3,0,"[33, 36, 233]",True,False
18,4,4,team,top1,anomalous,1693,1692,ACM2278:231,ACM2278:228,1.0,0.3368968963623047,0.3398704528808594,0.0029735565185546875,1,0,[6567],False,False
18,4,4,team,top1,anomalous,1694,1693,ACM2278:232,ACM2278:231,1.0,0.3103208541870117,0.31210559606552124,0.0017847418785095215,1,0,[6567],False,False
18,4,4,team,top1,anomalous,25389,25418,CDE1846:435,CDE1846:476,1.0,0.4810541868209839,0.4467684030532837,-0.034285783767700195,1,1,[6567],True,True
18,4,4,team,top1,anomalous,25396,25391,CDE1846:444,CDE1846:437,1.0,0.4358266294002533,0.3721049427986145,-0.0637216866016388,1,1,[6567],True,True
18,4,4,team,top1,anomalous,25401,25394,CDE1846:451,CDE1846:442,1.0,0.4562937617301941,0.3813883662223816,-0.0749053955078125,1,1,[6567],True,True
18,4,4,team,top1,anomalous,25408,25375,CDE1846:462,CDE1846:415,1.0,0.44189369678497314,0.3919486105442047,-0.04994508624076843,1,1,[6567],True,True
18,4,4,team,top1,anomalous,25411,25401,CDE1846:465,CDE1846:451,1.0,0.4379540681838989,0.39071494340896606,-0.04723912477493286,1,1,[6567],True,True
18,4,4,team,top1,anomalous,30013,30006,CMP2946:410,CMP2946:401,1.0,0.3866937458515167,0.3870602250099182,0.00036647915840148926,1,0,[6567],False,False
18,4,4,team,top1,benign,25375,21042,CDE1846:415,BXK2091:323,1.0,0.48000627756118774,0.37314653396606445,-0.10685974359512329,1,1,[6567],True,True
18,4,4,team,top1,benign,25398,21136,CDE1846:448,BXK2091:462,1.0,0.45171621441841125,0.351168692111969,-0.10054752230644226,1,1,[6567],True,True
18,4,4,team,top1,benign,25399,38606,CDE1846:449,DNV1964:169,1.0,0.5384507179260254,0.4626871943473816,-0.0757635235786438,1,1,[6567],True,True
18,4,4,team,top1,benign,25412,121641,CDE1846:466,SSH1845:84,1.0,0.4663989841938019,0.36626890301704407,-0.10013008117675781,1,1,[6567],True,True
18,4,4,team,top1,benign,25418,20937,CDE1846:476,BXK2091:172,1.0,0.45957010984420776,0.35272547602653503,-0.10684463381767273,1,1,[6567],True,True
18,4,4,team,top1,benign,25419,21157,CDE1846:477,BXK2091:492,1.0,0.48583829402923584,0.38486966490745544,-0.1009686291217804,1,1,[6567],True,True
18,4,4,team,top1,benign,30013,29928,CMP2946:410,CMP2946:284,1.0,0.3866937458515167,0.3870602250099182,0.00036647915840148926,1,0,[6567],False,False
18,4,4,team,top1,benign,30023,50407,CMP2946:424,GRL2886:226,1.0,0.342947781085968,0.3366524279117584,-0.006295353174209595,1,0,[6567],True,False
