layer,latent_mult,k,context_mode,feature_set,donor_type,receiver_row_idx,donor_row_idx,receiver_example_id,donor_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,repair,strong_repair
18,4,8,dept_role,control5_active,anomalous,1692,30018,ACM2278:228,CMP2946:417,0.75,0.34236299991607666,0.3610289990901947,0.018665999174118042,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,1693,30022,ACM2278:231,CMP2946:423,1.0,0.3368968963623047,0.35129186511039734,0.014394968748092651,5,11,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,1694,30022,ACM2278:232,CMP2946:423,1.0,0.3103208541870117,0.3199240267276764,0.009603172540664673,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,1695,30022,ACM2278:233,CMP2946:423,1.0,0.444414883852005,0.4593311548233032,0.014916270971298218,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,1696,30017,ACM2278:234,CMP2946:416,1.0,0.4246574342250824,0.436000794172287,0.01134335994720459,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,25375,83551,CDE1846:415,MBG3183:283,0.25,0.48000627756118774,0.45428118109703064,-0.025725096464157104,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25376,83551,CDE1846:416,MBG3183:283,0.75,0.476402223110199,0.459595263004303,-0.016806960105895996,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25377,83551,CDE1846:417,MBG3183:283,0.75,0.4381938576698303,0.4239335060119629,-0.014260351657867432,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25378,83551,CDE1846:420,MBG3183:283,0.75,0.41655200719833374,0.3689466416835785,-0.04760536551475525,5,12,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25379,83551,CDE1846:421,MBG3183:283,0.75,0.4224047064781189,0.38224372267723083,-0.04016098380088806,5,10,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25380,83551,CDE1846:422,MBG3183:283,0.25,0.4740689694881439,0.4261617064476013,-0.0479072630405426,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25381,83551,CDE1846:423,MBG3183:283,0.25,0.4615910053253174,0.4220016300678253,-0.039589375257492065,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25382,83551,CDE1846:424,MBG3183:283,0.25,0.4656012952327728,0.41824519634246826,-0.047356098890304565,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25383,83551,CDE1846:427,MBG3183:283,0.25,0.4605143070220947,0.4557930529117584,-0.004721254110336304,5,6,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,anomalous,25384,83551,CDE1846:428,MBG3183:283,0.25,0.4696827530860901,0.4656345844268799,-0.004048168659210205,5,5,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,anomalous,25385,83551,CDE1846:429,MBG3183:283,0.25,0.48370906710624695,0.48196840286254883,-0.0017406642436981201,5,6,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,anomalous,25386,83551,CDE1846:430,MBG3183:283,0.25,0.4298016130924225,0.43078842759132385,0.0009868144989013672,5,3,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,25387,83551,CDE1846:431,MBG3183:283,0.25,0.46182042360305786,0.4611205756664276,-0.000699847936630249,5,6,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,anomalous,25388,83551,CDE1846:434,MBG3183:283,0.75,0.41756606101989746,0.39282047748565674,-0.024745583534240723,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25389,83551,CDE1846:435,MBG3183:283,0.75,0.4810541868209839,0.4526287913322449,-0.028425395488739014,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25390,83551,CDE1846:436,MBG3183:283,0.75,0.4580255448818207,0.43013903498649597,-0.027886509895324707,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25391,83551,CDE1846:437,MBG3183:283,0.75,0.454647958278656,0.42850109934806824,-0.02614685893058777,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25392,83551,CDE1846:438,MBG3183:283,0.75,0.453688383102417,0.42634591460227966,-0.02734246850013733,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25393,83551,CDE1846:441,MBG3183:283,0.75,0.4744405746459961,0.4610104262828827,-0.013430148363113403,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25394,83551,CDE1846:442,MBG3183:283,0.25,0.4234159290790558,0.41285499930381775,-0.010560929775238037,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25395,83551,CDE1846:443,MBG3183:283,0.75,0.48396870493888855,0.4671276807785034,-0.016841024160385132,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25396,83551,CDE1846:444,MBG3183:283,0.25,0.4358266294002533,0.42179247736930847,-0.014034152030944824,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25397,83551,CDE1846:445,MBG3183:283,0.25,0.4287758469581604,0.4141159653663635,-0.014659881591796875,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25398,83551,CDE1846:448,MBG3183:283,1.0,0.45171621441841125,0.43815067410469055,-0.013565540313720703,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25399,83551,CDE1846:449,MBG3183:283,1.0,0.5384507179260254,0.5169194936752319,-0.021531224250793457,5,13,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25400,83551,CDE1846:450,MBG3183:283,1.0,0.4665936231613159,0.4434662163257599,-0.02312740683555603,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25401,83551,CDE1846:451,MBG3183:283,1.0,0.4562937617301941,0.4309558570384979,-0.025337904691696167,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25402,83551,CDE1846:452,MBG3183:283,1.0,0.4688948690891266,0.4424213171005249,-0.026473551988601685,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25403,83551,CDE1846:455,MBG3183:283,0.75,0.437348872423172,0.411451131105423,-0.025897741317749023,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25404,83551,CDE1846:456,MBG3183:283,1.0,0.4546266794204712,0.43449896574020386,-0.020127713680267334,5,11,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25405,83551,CDE1846:457,MBG3183:283,1.0,0.4495765268802643,0.4270009696483612,-0.022575557231903076,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25406,83551,CDE1846:458,MBG3183:283,1.0,0.47377797961235046,0.4451427161693573,-0.028635263442993164,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25407,83551,CDE1846:459,MBG3183:283,1.0,0.4813075065612793,0.4530901312828064,-0.0282173752784729,5,4,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25408,83551,CDE1846:462,MBG3183:283,0.5,0.44189369678497314,0.4321487843990326,-0.009744912385940552,5,3,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,anomalous,25409,83551,CDE1846:463,MBG3183:283,0.5,0.4770914614200592,0.4629615843296051,-0.014129877090454102,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25410,83551,CDE1846:464,MBG3183:283,1.0,0.44748130440711975,0.42926454544067383,-0.018216758966445923,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25411,83551,CDE1846:465,MBG3183:283,1.0,0.4379540681838989,0.4218094050884247,-0.016144663095474243,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25412,83551,CDE1846:466,MBG3183:283,0.5,0.4663989841938019,0.4538194239139557,-0.012579560279846191,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25413,83551,CDE1846:469,MBG3183:283,0.5,0.5547977685928345,0.5218944549560547,-0.032903313636779785,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25414,83551,CDE1846:470,MBG3183:283,0.5,0.5187341570854187,0.49521762132644653,-0.023516535758972168,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25415,83551,CDE1846:471,MBG3183:283,0.25,0.4709838032722473,0.45000627636909485,-0.020977526903152466,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25416,83551,CDE1846:472,MBG3183:283,0.25,0.4431593418121338,0.42501139640808105,-0.018147945404052734,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25417,83551,CDE1846:473,MBG3183:283,0.5,0.510485053062439,0.49095210433006287,-0.0195329487323761,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25418,83551,CDE1846:476,MBG3183:283,1.0,0.45957010984420776,0.45044413208961487,-0.009125977754592896,5,7,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,anomalous,25419,83551,CDE1846:477,MBG3183:283,1.0,0.48583829402923584,0.47426730394363403,-0.011570990085601807,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,anomalous,25420,83551,CDE1846:478,MBG3183:283,1.0,0.4507943093776703,0.4437945783138275,-0.0069997310638427734,5,7,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,anomalous,30006,1693,CMP2946:401,ACM2278:231,0.5,0.4071964919567108,0.43044576048851013,0.023249268531799316,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30007,1693,CMP2946:402,ACM2278:231,0.5,0.35271212458610535,0.3821151554584503,0.02940303087234497,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30008,1693,CMP2946:403,ACM2278:231,0.5,0.4106225371360779,0.4340553283691406,0.023432791233062744,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30009,1693,CMP2946:406,ACM2278:231,1.0,0.5697546005249023,0.6235664486885071,0.053811848163604736,5,5,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30010,1694,CMP2946:407,ACM2278:232,0.75,0.4113714098930359,0.42505955696105957,0.013688147068023682,5,10,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30011,1694,CMP2946:408,ACM2278:232,0.75,0.42193537950515747,0.43761059641838074,0.015675216913223267,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30012,1693,CMP2946:409,ACM2278:231,1.0,0.3991337716579437,0.41110914945602417,0.011975377798080444,5,11,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30013,1694,CMP2946:410,ACM2278:232,0.75,0.3866937458515167,0.3987523019313812,0.012058556079864502,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30014,1692,CMP2946:413,ACM2278:228,0.25,0.4019182026386261,0.41444939374923706,0.012531191110610962,5,14,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30015,1696,CMP2946:414,ACM2278:234,0.75,0.39600488543510437,0.4057890772819519,0.009784191846847534,5,11,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30016,1692,CMP2946:415,ACM2278:228,0.5,0.4086405634880066,0.43099161982536316,0.022351056337356567,5,10,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30017,1692,CMP2946:416,ACM2278:228,0.5,0.32742437720298767,0.3374514579772949,0.010027080774307251,5,9,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30018,1692,CMP2946:417,ACM2278:228,0.5,0.4940263628959656,0.5042814016342163,0.010255038738250732,5,9,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30019,1693,CMP2946:420,ACM2278:231,0.5,0.4198122024536133,0.4416065812110901,0.021794378757476807,5,11,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30020,1695,CMP2946:421,ACM2278:233,1.0,0.4261069595813751,0.43401816487312317,0.007911205291748047,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30021,1693,CMP2946:422,ACM2278:231,0.75,0.4128640592098236,0.4193520247936249,0.0064879655838012695,5,9,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30022,1693,CMP2946:423,ACM2278:231,0.75,0.4211212396621704,0.427056223154068,0.005934983491897583,5,12,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,30023,1693,CMP2946:424,ACM2278:231,0.75,0.342947781085968,0.3535342812538147,0.01058650016784668,5,11,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,anomalous,83551,25416,MBG3183:283,CDE1846:472,0.25,0.6162141561508179,0.601392924785614,-0.014821231365203857,5,4,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,1692,98348,ACM2278:228,NRN2936:143,0.25,0.34236299991607666,0.360866516828537,0.018503516912460327,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,1693,13,ACM2278:231,AAS3428:21,0.75,0.3368968963623047,0.3513903319835663,0.014493435621261597,5,11,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,1694,54730,ACM2278:232,HGD1664:93,0.25,0.3103208541870117,0.3197278678417206,0.009407013654708862,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,1695,72350,ACM2278:233,KMB3781:357,0.5,0.444414883852005,0.4601953327655792,0.01578044891357422,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,1696,19561,ACM2278:234,BSS2956:287,0.25,0.4246574342250824,0.4358455240726471,0.011188089847564697,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,25375,135155,CDE1846:415,WMR2723:477,1.0,0.48000627756118774,0.44728901982307434,-0.0327172577381134,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,25376,89587,CDE1846:416,MNB3094:23,1.0,0.476402223110199,0.45635277032852173,-0.020049452781677246,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,25377,119094,CDE1846:417,SLS0834:200,0.75,0.4381938576698303,0.42196714878082275,-0.01622670888900757,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,25378,20833,CDE1846:420,BXK2091:24,1.0,0.41655200719833374,0.3656432032585144,-0.050908803939819336,5,12,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,25379,28195,CDE1846:421,CJC1433:424,0.75,0.4224047064781189,0.3808499276638031,-0.041554778814315796,5,10,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,25380,109171,CDE1846:422,RHO0678:409,0.25,0.4740689694881439,0.4213709235191345,-0.0526980459690094,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,25381,108817,CDE1846:423,RHO0678:18,0.25,0.4615910053253174,0.4153013229370117,-0.046289682388305664,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,25382,38816,CDE1846:424,DNV1964:471,0.5,0.4656012952327728,0.4114365577697754,-0.054164737462997437,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,25383,89593,CDE1846:427,MNB3094:31,1.0,0.4605143070220947,0.45263639092445374,-0.007877916097640991,5,6,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,25384,89605,CDE1846:428,MNB3094:49,0.75,0.4696827530860901,0.4621380865573883,-0.007544666528701782,5,5,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,25385,83579,CDE1846:429,MBG3183:323,1.0,0.48370906710624695,0.4774627983570099,-0.0062462687492370605,5,6,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,25386,104191,CDE1846:430,PWM0708:135,0.5,0.4298016130924225,0.4260185658931732,-0.0037830471992492676,5,3,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,25387,96797,CDE1846:431,NJO1460:476,0.5,0.46182042360305786,0.4543502926826477,-0.007470130920410156,5,6,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,25388,69170,CDE1846:434,KCM2495:410,0.75,0.41756606101989746,0.3928259015083313,-0.024740159511566162,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
