layer,latent_mult,k,context_mode,feature_set,donor_type,receiver_row_idx,donor_row_idx,receiver_example_id,donor_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,repair,strong_repair
18,4,8,dept_role,control3,anomalous,1692,30018,ACM2278:228,CMP2946:417,0.5,0.34236299991607666,0.35948002338409424,0.017117023468017578,3,29,"[2044, 5489, 4062]",False,False
18,4,8,dept_role,control3,anomalous,1693,30009,ACM2278:231,CMP2946:406,0.75,0.3368968963623047,0.35654711723327637,0.01965022087097168,3,37,"[2044, 5489, 4062]",False,False
18,4,8,dept_role,control3,anomalous,1694,30011,ACM2278:232,CMP2946:408,0.5,0.3103208541870117,0.32450976967811584,0.014188915491104126,3,45,"[2044, 5489, 4062]",False,False
18,4,8,dept_role,control3,anomalous,1695,30006,ACM2278:233,CMP2946:401,1.0,0.444414883852005,0.4648567736148834,0.020441889762878418,3,24,"[2044, 5489, 4062]",False,False
18,4,8,dept_role,control3,anomalous,1696,30016,ACM2278:234,CMP2946:415,1.0,0.4246574342250824,0.45550644397735596,0.03084900975227356,3,16,"[2044, 5489, 4062]",False,False
18,4,8,dept_role,control3,anomalous,25375,25389,CDE1846:415,CDE1846:435,1.0,0.48000627756118774,0.4538562595844269,-0.026150017976760864,3,20,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25376,25377,CDE1846:416,CDE1846:417,0.5,0.476402223110199,0.46265748143196106,-0.013744741678237915,3,16,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25377,25405,CDE1846:417,CDE1846:457,1.0,0.4381938576698303,0.42669129371643066,-0.011502563953399658,3,14,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25378,25407,CDE1846:420,CDE1846:459,0.25,0.41655200719833374,0.36754727363586426,-0.04900473356246948,3,25,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25379,25388,CDE1846:421,CDE1846:434,0.25,0.4224047064781189,0.3753806948661804,-0.04702401161193848,3,19,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25380,25412,CDE1846:422,CDE1846:466,0.5,0.4740689694881439,0.42022064328193665,-0.053848326206207275,3,17,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25381,25405,CDE1846:423,CDE1846:457,0.25,0.4615910053253174,0.41414597630500793,-0.04744502902030945,3,20,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25382,25405,CDE1846:424,CDE1846:457,0.25,0.4656012952327728,0.4109954833984375,-0.05460581183433533,3,24,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25383,25384,CDE1846:427,CDE1846:428,0.5,0.4605143070220947,0.451565146446228,-0.0089491605758667,3,18,"[2044, 5489, 4062]",True,False
18,4,8,dept_role,control3,anomalous,25384,25401,CDE1846:428,CDE1846:451,0.5,0.4696827530860901,0.46152371168136597,-0.008159041404724121,3,18,"[2044, 5489, 4062]",True,False
18,4,8,dept_role,control3,anomalous,25385,25395,CDE1846:429,CDE1846:443,0.75,0.48370906710624695,0.4776369631290436,-0.006072103977203369,3,14,"[2044, 5489, 4062]",True,False
18,4,8,dept_role,control3,anomalous,25386,25400,CDE1846:430,CDE1846:450,0.25,0.4298016130924225,0.42895710468292236,-0.0008445084095001221,3,20,"[2044, 5489, 4062]",True,False
18,4,8,dept_role,control3,anomalous,25387,25411,CDE1846:431,CDE1846:465,1.0,0.46182042360305786,0.4573037624359131,-0.004516661167144775,3,17,"[2044, 5489, 4062]",True,False
18,4,8,dept_role,control3,anomalous,25388,25380,CDE1846:434,CDE1846:422,0.25,0.41756606101989746,0.391757071018219,-0.025808990001678467,3,19,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25389,25386,CDE1846:435,CDE1846:430,0.5,0.4810541868209839,0.45043155550956726,-0.030622631311416626,3,21,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25390,25418,CDE1846:436,CDE1846:476,0.25,0.4580255448818207,0.4241761863231659,-0.033849358558654785,3,16,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25391,25406,CDE1846:437,CDE1846:458,0.25,0.454647958278656,0.4275312125682831,-0.027116745710372925,3,21,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25392,25406,CDE1846:438,CDE1846:458,1.0,0.453688383102417,0.4256797730922699,-0.028008610010147095,3,17,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25393,25409,CDE1846:441,CDE1846:463,0.25,0.4744405746459961,0.4620123505592346,-0.012428224086761475,3,15,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25394,25397,CDE1846:442,CDE1846:445,1.0,0.4234159290790558,0.4137570261955261,-0.009658902883529663,3,20,"[2044, 5489, 4062]",True,False
18,4,8,dept_role,control3,anomalous,25395,25389,CDE1846:443,CDE1846:435,0.5,0.48396870493888855,0.46937403082847595,-0.014594674110412598,3,22,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25396,25402,CDE1846:444,CDE1846:452,0.5,0.4358266294002533,0.4200839102268219,-0.015742719173431396,3,27,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25397,25407,CDE1846:445,CDE1846:459,1.0,0.4287758469581604,0.41536378860473633,-0.013412058353424072,3,19,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25398,25392,CDE1846:448,CDE1846:438,0.25,0.45171621441841125,0.4372957646846771,-0.01442044973373413,3,21,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25399,25384,CDE1846:449,CDE1846:428,0.75,0.5384507179260254,0.5131099224090576,-0.025340795516967773,3,27,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25400,25392,CDE1846:450,CDE1846:438,1.0,0.4665936231613159,0.4401264488697052,-0.026467174291610718,3,24,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25401,25407,CDE1846:451,CDE1846:459,0.75,0.4562937617301941,0.43173977732658386,-0.02455398440361023,3,20,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25402,25381,CDE1846:452,CDE1846:423,1.0,0.4688948690891266,0.44229206442832947,-0.02660280466079712,3,22,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25403,25402,CDE1846:455,CDE1846:452,1.0,0.437348872423172,0.4116193354129791,-0.02572953701019287,3,20,"[2044, 5489, 4062]",True,True
18,4,8,dept_role,control3,anomalous,25404,25395,CDE1846:456,CDE1846:443,1.0,0.4546266794204712,0.4356343448162079,-0.018992334604263306,3,26,"[2044, 5489, 4062]",True,True
