layer,latent_mult,k,context_mode,target,n_receivers,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage,top_minus_control_advantage
18,4,8,dept_role,top5,70,-0.06789229895387378,-0.049278813600540164,-0.010480494584356036,-0.010565964664731706,0.01861348535333361,-8.547008037567035e-05,0.01869895543370928
18,4,8,role,top5,70,-0.06674176709992545,-0.048560496738978796,-0.010417690873146057,-0.010839627470288958,0.018181270360946654,-0.0004219365971429006,0.018603206958089556
18,4,8,project_role,top5,70,-0.06461936490876334,-0.05150340029171535,-0.010477433885846819,-0.010612512486321585,0.01311596461704799,-0.00013507860047476568,0.013251043217522756
18,4,8,team,top5,70,-0.05162278498922076,-0.044111597963741846,-0.010700279900005886,-0.011405232122966222,0.007511187025478913,-0.000704952222960336,0.008216139248439249
18,4,8,team,top3,70,-0.0127204316002982,-0.011620195848601205,-0.010700279900005886,-0.011405232122966222,0.001100235751696996,-0.000704952222960336,0.001805187974657332
18,4,8,role,top3,70,-0.011866867116519382,-0.011553336467061723,-0.010417690873146057,-0.010839627470288958,0.0003135306494576589,-0.0004219365971429006,0.0007354672466005595
18,4,8,project_role,top3,70,-0.01212877333164215,-0.011849362935338701,-0.010477433885846819,-0.010612512486321585,0.00027941039630344916,-0.00013507860047476568,0.00041448899677821484
18,4,8,dept_role,top3,70,-0.012134742311068944,-0.01222439238003322,-0.010480494584356036,-0.010565964664731706,-8.965006896427714e-05,-8.547008037567035e-05,-4.179988588606798e-06
18,4,8,team,top1,70,-0.011425289937428066,-0.013764935306140355,-0.010700279900005886,-0.011405232122966222,-0.0023396453687122894,-0.000704952222960336,-0.0016346931457519535
18,4,8,role,top1,70,-0.008916442734854563,-0.012967570338930402,-0.010417690873146057,-0.010839627470288958,-0.0040511276040758396,-0.0004219365971429006,-0.003629191006932939
18,4,8,project_role,top1,70,-0.008834835461207799,-0.012898167967796326,-0.010477433885846819,-0.010612512486321585,-0.004063332506588527,-0.00013507860047476568,-0.003928253906113762
18,4,8,dept_role,top1,70,-0.008651311482701983,-0.012920408589499338,-0.010480494584356036,-0.010565964664731706,-0.004269097106797355,-8.547008037567035e-05,-0.004183627026421685
