layer,latent_mult,k,context_mode,feature_set,receiver_type,pair_idx,receiver_row_idx,matched_row_idx,receiver_example_id,matched_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,effect,strong_effect
18,4,8,dept_role,control5_active,benign,0,98309,1692,NRN2936:87,ACM2278:228,0.5,0.33302778005599976,0.38887983560562134,0.05585205554962158,5,4,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,1,113123,1693,RSA2941:44,ACM2278:231,0.5,0.48057815432548523,0.4891798198223114,0.008601665496826172,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,2,20446,1694,BVB1673:24,ACM2278:232,1.0,0.67420494556427,0.7406222820281982,0.06641733646392822,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,3,67042,1695,JMG3365:422,ACM2278:233,1.0,0.3506884276866913,0.35478901863098145,0.004100590944290161,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,4,72299,1696,KMB3781:282,ACM2278:234,1.0,0.3358362317085266,0.32788562774658203,-0.00795060396194458,5,7,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,5,69018,25375,KCM2495:190,CDE1846:415,0.75,0.35689109563827515,0.3505943715572357,-0.006296724081039429,5,5,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,6,105825,25376,QKO2718:324,CDE1846:416,1.0,0.6759570240974426,0.6681099534034729,-0.007847070693969727,5,7,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,7,4563,25377,AFP2709:328,CDE1846:417,0.75,0.4144299626350403,0.42891085147857666,0.014480888843536377,5,10,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,8,102150,25378,PAA2738:507,CDE1846:420,0.25,0.3440597653388977,0.3223419189453125,-0.021717846393585205,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,9,13282,25379,BGH2610:304,CDE1846:421,0.25,0.4281773865222931,0.3378284275531769,-0.09034895896911621,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,10,83636,25380,MBG3183:409,CDE1846:422,1.0,0.4586156904697418,0.42050662636756897,-0.03810906410217285,5,5,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,11,69055,25381,KCM2495:241,CDE1846:423,0.25,0.3603488802909851,0.37748733162879944,0.01713845133781433,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,12,38626,25382,DNV1964:198,CDE1846:424,1.0,0.47847017645835876,0.5283184051513672,0.04984822869300842,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,13,23389,25383,CCB0547:115,CDE1846:427,0.5,0.276765376329422,0.26496922969818115,-0.011796146631240845,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,14,84840,25384,MCO3164:88,CDE1846:428,0.5,0.3398924171924591,0.3324642479419708,-0.007428169250488281,5,8,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,15,119004,25385,SLS0834:71,CDE1846:429,0.25,0.29129913449287415,0.319007933139801,0.02770879864692688,5,11,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,16,28047,25386,CJC1433:224,CDE1846:430,0.75,0.2776532769203186,0.2817162871360779,0.004063010215759277,5,11,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,17,73383,25387,KRB3120:304,CDE1846:431,0.5,0.4757760763168335,0.4295397102832794,-0.04623636603355408,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,18,104221,25388,PWM0708:178,CDE1846:434,0.5,0.3482513725757599,0.3664027750492096,0.018151402473449707,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,19,29256,25389,CLE3098:344,CDE1846:435,1.0,0.369707852602005,0.41457194089889526,0.04486408829689026,5,3,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,20,135727,25390,WRF3534:217,CDE1846:436,1.0,0.6664091348648071,0.5859189629554749,-0.08049017190933228,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,21,73859,25391,KRD2100:249,CDE1846:437,0.5,0.49582210183143616,0.4755783677101135,-0.020243734121322632,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,22,106820,25392,RBB0585:220,CDE1846:438,0.25,0.39602163434028625,0.41288119554519653,0.01685956120491028,5,9,"[14177, 4087, 1870, 13823, 11909]",False,False
