layer,latent_mult,k,context_mode,feature_set,receiver_type,pair_idx,receiver_row_idx,matched_row_idx,receiver_example_id,matched_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,effect,strong_effect
18,4,8,dept_role,control5_active,benign,0,98359,1692,NRN2936:161,ACM2278:228,0.25,0.31564563512802124,0.39042624831199646,0.07478061318397522,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,1,114635,1693,SAM3782:14,ACM2278:231,0.25,0.4261443018913269,0.33995601534843445,-0.08618828654289246,5,4,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,2,26797,1694,CET3786:198,ACM2278:232,0.25,0.40829214453697205,0.4157623052597046,0.007470160722732544,5,10,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,3,70338,1695,KEM2934:25,ACM2278:233,1.0,0.5316323041915894,0.47604507207870483,-0.05558723211288452,5,4,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,4,72374,1696,KMB3781:394,ACM2278:234,0.5,0.3244924247264862,0.3317720293998718,0.00727960467338562,5,11,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,5,69182,25375,KCM2495:428,CDE1846:415,0.5,0.3894902169704437,0.4104892313480377,0.020999014377593994,5,4,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,6,105910,25376,QKO2718:450,CDE1846:416,1.0,0.6905168294906616,0.6998788118362427,0.009361982345581055,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,7,4549,25377,AFP2709:314,CDE1846:417,0.75,0.44738152623176575,0.43962255120277405,-0.007758975028991699,5,8,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,8,104189,25378,PWM0708:133,CDE1846:420,0.25,0.3871628940105438,0.4271638095378876,0.04000091552734375,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,9,13244,25379,BGH2610:249,CDE1846:421,0.25,0.4107968211174011,0.36584538221359253,-0.044951438903808594,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,10,84834,25380,MCO3164:80,CDE1846:422,0.75,0.4884450435638428,0.4724568724632263,-0.015988171100616455,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,11,69218,25381,KCM2495:478,CDE1846:423,1.0,0.3866643011569977,0.3957025408744812,0.00903823971748352,5,4,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,12,38841,25382,DNV1964:507,CDE1846:424,0.75,0.3488043248653412,0.3776203393936157,0.028816014528274536,5,6,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,13,23334,25383,CCB0547:37,CDE1846:427,0.25,0.2669464349746704,0.264810174703598,-0.0021362602710723877,5,5,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,14,84967,25384,MCO3164:273,CDE1846:428,0.5,0.4986356496810913,0.47144055366516113,-0.027195096015930176,5,4,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,15,119051,25385,SLS0834:137,CDE1846:429,0.75,0.29577597975730896,0.3127572238445282,0.01698124408721924,5,10,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,16,29042,25386,CLE3098:36,CDE1846:430,0.25,0.35524848103523254,0.40992000699043274,0.054671525955200195,5,5,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,17,73695,25387,KRD2100:16,CDE1846:431,0.75,0.463640034198761,0.46739286184310913,0.0037528276443481445,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,18,104315,25388,PWM0708:312,CDE1846:434,1.0,0.529293954372406,0.558638334274292,0.029344379901885986,5,3,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,19,36808,25389,DJP3230:158,CDE1846:435,0.25,0.40090277791023254,0.42745983600616455,0.026557058095932007,5,4,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,20,135732,25390,WRF3534:222,CDE1846:436,0.25,0.6820262670516968,0.588746964931488,-0.09327930212020874,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,21,74006,25391,KRD2100:464,CDE1846:437,0.75,0.684735119342804,0.5918921828269958,-0.0928429365158081,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,22,106898,25392,RBB0585:331,CDE1846:438,0.75,0.3823561370372772,0.41246795654296875,0.03011181950569153,5,8,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,23,104148,25393,PWM0708:73,CDE1846:441,0.75,0.33944299817085266,0.36712339520454407,0.027680397033691406,5,7,"[14177, 4087, 1870, 13823, 11909]",False,False
18,4,8,dept_role,control5_active,benign,24,96746,25394,NJO1460:403,CDE1846:442,0.75,0.4640718698501587,0.4120667576789856,-0.052005112171173096,5,6,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,25,73217,25395,KRB3120:66,CDE1846:443,0.5,0.48870086669921875,0.3660214841365814,-0.12267938256263733,5,4,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,26,121861,25396,SSH1845:403,CDE1846:444,0.75,0.6245101690292358,0.5747921466827393,-0.04971802234649658,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,27,109149,25397,RHO0678:384,CDE1846:445,0.25,0.3980817496776581,0.39346522092819214,-0.004616528749465942,5,10,"[14177, 4087, 1870, 13823, 11909]",True,False
18,4,8,dept_role,control5_active,benign,28,105754,25398,QKO2718:224,CDE1846:448,0.75,0.6712582111358643,0.6533482670783997,-0.0179099440574646,5,7,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,29,126570,25399,TRW3172:235,CDE1846:449,1.0,0.6243781447410583,0.529112696647644,-0.0952654480934143,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,30,135855,25400,WRF3534:372,CDE1846:450,0.5,0.6727082133293152,0.6014077663421631,-0.0713004469871521,5,8,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,31,14845,25401,BJW3558:274,CDE1846:451,0.75,0.5665460228919983,0.5478125810623169,-0.018733441829681396,5,9,"[14177, 4087, 1870, 13823, 11909]",True,True
18,4,8,dept_role,control5_active,benign,32,3903,25402,AFB3228:23,CDE1846:452,1.0,0.38972601294517517,0.38744625449180603,-0.0022797584533691406,5,5,"[14177, 4087, 1870, 13823, 11909]",True,False
