layer,latent_mult,k,context_mode,feature_set,receiver_type,pair_idx,receiver_row_idx,matched_row_idx,receiver_example_id,matched_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,effect,strong_effect
18,4,8,team,top5,positive,0,1692,11051,ACM2278:228,AVC2328:288,0.25,0.34236299991607666,0.35903042554855347,0.016667425632476807,5,1,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,0,11051,1692,AVC2328:288,ACM2278:228,0.25,0.3471737205982208,0.3403627872467041,-0.006810933351516724,5,0,"[14358, 12848, 4196, 13580, 11292]",True,False
18,4,8,team,top5,positive,1,1693,132974,ACM2278:231,WBB2321:455,0.25,0.3368968963623047,0.3413485288619995,0.004451632499694824,5,0,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,1,132974,1693,WBB2321:455,ACM2278:231,0.25,0.3685600757598877,0.3642562925815582,-0.004303783178329468,5,0,"[14358, 12848, 4196, 13580, 11292]",True,False
18,4,8,team,top5,positive,2,1694,132710,ACM2278:232,WBB2321:155,0.25,0.3103208541870117,0.3143744170665741,0.004053562879562378,5,0,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,2,132710,1694,WBB2321:155,ACM2278:232,0.25,0.3183288872241974,0.316728800535202,-0.0016000866889953613,5,0,"[14358, 12848, 4196, 13580, 11292]",True,False
18,4,8,team,top5,positive,3,1695,50156,ACM2278:233,GNH1735:381,0.25,0.444414883852005,0.4491543769836426,0.004739493131637573,5,0,"[14358, 12848, 4196, 13580, 11292]",False,False
18,4,8,team,top5,benign,3,50156,1695,GNH1735:381,ACM2278:233,0.25,0.577296257019043,0.5756472945213318,-0.0016489624977111816,5,0,"[14358, 12848, 4196, 13580, 11292]",True,False
18,4,8,team,top5,positive,4,1696,50143,ACM2278:234,GNH1735:359,0.25,0.4246574342250824,0.4236459732055664,-0.0010114610195159912,5,0,"[14358, 12848, 4196, 13580, 11292]",True,False
18,4,8,team,top5,benign,4,50143,1696,GNH1735:359,ACM2278:234,0.25,0.6390318870544434,0.6411882042884827,0.0021563172340393066,5,0,"[14358, 12848, 4196, 13580, 11292]",False,False
