layer,latent_mult,k,context_mode,target,n_receivers,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage,top_minus_control_advantage
18,2,8,team,top3,70,-0.00328171934400286,-0.0037959933280944822,-0.0025017729827335904,-0.0024375400372913907,-0.0005142739840916224,6.42329454421998e-05,-0.0005785069295338222
18,2,8,team,top5,70,-0.0044533499649592806,-0.005173969268798828,-0.0025017729827335904,-0.0024375400372913907,-0.0007206193038395477,6.42329454421998e-05,-0.0007848522492817475
18,2,8,team,top1,70,-0.002745463166918073,-0.00362696179321834,-0.0025017729827335904,-0.0024375400372913907,-0.000881498626300267,6.42329454421998e-05,-0.0009457315717424667
18,2,8,project_role,top1,70,-0.0016066734279905047,-0.003768362317766462,-0.0028198408229010447,-0.002422750847680228,-0.002161688889775957,0.00039708997522081664,-0.0025587788649967737
18,2,8,project_role,top3,70,-0.0018204982791628157,-0.00408076388495309,-0.0028198408229010447,-0.002422750847680228,-0.0022602656057902747,0.00039708997522081664,-0.0026573555810110914
18,2,8,project_role,top5,70,-0.0028088207755770003,-0.005427763717515128,-0.0028198408229010447,-0.002422750847680228,-0.002618942941938128,0.00039708997522081664,-0.003016032917158945
18,2,8,role,top1,70,-0.0012776702642440796,-0.003768362317766462,-0.002984874589102609,-0.002422750847680228,-0.0024906920535223824,0.0005621237414223808,-0.003052815794944763
18,2,8,role,top3,70,-0.0015194220202309745,-0.00408076388495309,-0.002984874589102609,-0.002422750847680228,-0.002561341864722116,0.0005621237414223808,-0.0031234656061444968
18,2,8,dept_role,top1,70,-0.0010274520942143031,-0.003768362317766462,-0.0029623393501554216,-0.002422750847680228,-0.0027409102235521586,0.0005395885024751935,-0.003280498726027352
18,2,8,dept_role,top3,70,-0.001227597679410662,-0.00408076388495309,-0.0029623393501554216,-0.002422750847680228,-0.0028531662055424284,0.0005395885024751935,-0.003392754708017622
18,2,8,role,top5,70,-0.0024473066840853008,-0.005427763717515128,-0.002984874589102609,-0.002422750847680228,-0.0029804570334298276,0.0005621237414223808,-0.0035425807748522085
18,2,8,dept_role,top5,70,-0.002144517643111093,-0.005427763717515128,-0.0029623393501554216,-0.002422750847680228,-0.0032832460744040355,0.0005395885024751935,-0.003822834576879229
