layer,chunk_id,path,rows,d_model,unit
12,0,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00000.pt,4096,2048,mean
18,0,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00000.pt,4096,2048,mean
24,0,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00000.pt,4096,2048,mean
12,1,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00001.pt,4096,2048,mean
18,1,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00001.pt,4096,2048,mean
24,1,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00001.pt,4096,2048,mean
12,2,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00002.pt,4096,2048,mean
18,2,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00002.pt,4096,2048,mean
24,2,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00002.pt,4096,2048,mean
12,3,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00003.pt,4096,2048,mean
18,3,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00003.pt,4096,2048,mean
24,3,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00003.pt,4096,2048,mean
12,4,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00004.pt,4096,2048,mean
18,4,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00004.pt,4096,2048,mean
24,4,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00004.pt,4096,2048,mean
12,5,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00005.pt,4096,2048,mean
18,5,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00005.pt,4096,2048,mean
24,5,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00005.pt,4096,2048,mean
12,6,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00006.pt,4096,2048,mean
18,6,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00006.pt,4096,2048,mean
24,6,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00006.pt,4096,2048,mean
12,7,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00007.pt,4096,2048,mean
18,7,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00007.pt,4096,2048,mean
24,7,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00007.pt,4096,2048,mean
12,8,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00008.pt,4096,2048,mean
18,8,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00008.pt,4096,2048,mean
24,8,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00008.pt,4096,2048,mean
12,9,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00009.pt,4096,2048,mean
18,9,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00009.pt,4096,2048,mean
24,9,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00009.pt,4096,2048,mean
12,10,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00010.pt,4096,2048,mean
18,10,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00010.pt,4096,2048,mean
24,10,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00010.pt,4096,2048,mean
12,11,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00011.pt,4096,2048,mean
18,11,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00011.pt,4096,2048,mean
24,11,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00011.pt,4096,2048,mean
12,12,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00012.pt,4096,2048,mean
18,12,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00012.pt,4096,2048,mean
24,12,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00012.pt,4096,2048,mean
12,13,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00013.pt,4096,2048,mean
18,13,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00013.pt,4096,2048,mean
24,13,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00013.pt,4096,2048,mean
12,14,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00014.pt,4096,2048,mean
18,14,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00014.pt,4096,2048,mean
24,14,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00014.pt,4096,2048,mean
12,15,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00015.pt,4096,2048,mean
18,15,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00015.pt,4096,2048,mean
24,15,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00015.pt,4096,2048,mean
12,16,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_12/chunk_00016.pt,4096,2048,mean
18,16,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_18/chunk_00016.pt,4096,2048,mean
24,16,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/delta_cache/qwen3b_session_mean_deltas/layer_24/chunk_00016.pt,4096,2048,mean
