layer,latent_mult,k,context_mode,target,n_receivers,estimate,ci_low,ci_high,top_benign_mean_best_delta,top_anomalous_mean_best_delta,control_benign_mean_best_delta,control_anomalous_mean_best_delta,top_repair_advantage,control_repair_advantage
18,2,8,team,top1,70,0.001405147995267593,0.0007058473570006082,0.002114442054714462,-0.012187510303088563,-0.011781421729496524,-0.008718605978148303,-0.009717665399823853,0.0004060885735920391,-0.0009990594216755504
18,2,8,team,top5,70,0.0013823730604989174,0.0007293728100402125,0.0020586683601141,-0.01814952833311896,-0.01776621469429559,-0.008718605978148303,-0.009717665399823853,0.0003833136388233724,-0.0009990594216755504
18,2,8,team,top3,70,0.000906616023608614,0.0002478532812425047,0.0015414035426718916,-0.011663553118705719,-0.011755996516772655,-0.008718605978148303,-0.009717665399823853,-9.24433980669364e-05,-0.0009990594216755504
18,2,8,role,top3,70,0.00023005604743957518,-4.221240324633624e-05,0.0005087963917425714,-0.011729169743401633,-0.011482237918036296,-0.00861632781369343,-0.008599452035767665,0.0002469318253653374,1.6875777925765e-05
18,2,8,dept_role,top3,70,0.00016693983759199103,-0.0001895369482891855,0.0005084060877561541,-0.011722601737294848,-0.011482237918036296,-0.008672876017434227,-0.008599452035767665,0.000240363819258552,7.342398166656182e-05
18,2,8,project_role,top3,70,0.00016687256949288691,-0.00013237713703086244,0.0004669285459177828,-0.011705319370542236,-0.011482237918036296,-0.008655660918780719,-0.008599452035767665,0.00022308145250594068,5.62088830130536e-05
18,2,8,role,top1,70,-0.00011098044259208192,-0.0005090211864028741,0.0002607066290719039,-0.012125402263232608,-0.012219506927898926,-0.00861632781369343,-0.008599452035767665,-9.410466466631788e-05,1.6875777925765e-05
18,2,8,dept_role,top1,70,-0.0001575035708291204,-0.0005854068909372658,0.00025116462792668733,-0.01213542733873637,-0.012219506927898926,-0.008672876017434227,-0.008599452035767665,-8.407958916255634e-05,7.342398166656182e-05
18,2,8,project_role,top1,70,-0.000240444285529009,-0.0006509501274143011,0.00015407402600558994,-0.012035271525382968,-0.012219506927898926,-0.008655660918780719,-0.008599452035767665,-0.00018423540251595767,5.62088830130536e-05
18,2,8,role,top5,70,-0.0003247163125446927,-0.0008345680364540687,0.00014989106782845006,-0.017494291918618305,-0.017802132453237238,-0.00861632781369343,-0.008599452035767665,-0.00030784053461893265,1.6875777925765e-05
18,2,8,project_role,top5,70,-0.0004754952022007565,-0.0008887868800333665,-6.359709160667466e-05,-0.01738284613404953,-0.017802132453237238,-0.008655660918780719,-0.008599452035767665,-0.00041928631918770887,5.62088830130536e-05
18,2,8,dept_role,top5,70,-0.000592414396149771,-0.0010221782326698332,-0.00017368076103073109,-0.017283142038754026,-0.017802132453237238,-0.008672876017434227,-0.008599452035767665,-0.0005189904144832121,7.342398166656182e-05
