layer,latent_mult,k,context_mode,feature_set,donor_type,receiver_row_idx,donor_row_idx,receiver_example_id,donor_example_id,alpha,base_score,patched_score,delta,n_selected_features,n_active_receiver_tokens,selected_features,repair,strong_repair
18,4,4,dept_role,control3,anomalous,1692,1696,ACM2278:228,ACM2278:234,0.25,0.3634369373321533,0.36046454310417175,-0.0029723942279815674,3,0,"[101, 173, 230]",True,False
18,4,4,dept_role,control3,anomalous,1693,1692,ACM2278:231,ACM2278:228,0.25,0.36518627405166626,0.3642164468765259,-0.0009698271751403809,3,0,"[101, 173, 230]",True,False
18,4,4,dept_role,control3,anomalous,1694,1692,ACM2278:232,ACM2278:228,0.25,0.34316781163215637,0.3404644727706909,-0.002703338861465454,3,0,"[101, 173, 230]",True,False
18,4,4,dept_role,control3,anomalous,1695,1693,ACM2278:233,ACM2278:231,0.25,0.4220327138900757,0.4191390573978424,-0.0028936564922332764,3,0,"[101, 173, 230]",True,False
18,4,4,dept_role,control3,anomalous,1696,30006,ACM2278:234,CMP2946:401,0.25,0.4578588306903839,0.4622032046318054,0.004344373941421509,3,0,"[101, 173, 230]",False,False
18,4,4,dept_role,control3,anomalous,25375,25381,CDE1846:415,CDE1846:423,0.25,0.4057142436504364,0.3995296061038971,-0.006184637546539307,3,0,"[101, 173, 230]",True,False
18,4,4,dept_role,control3,anomalous,25376,25385,CDE1846:416,CDE1846:429,0.25,0.4060457944869995,0.4071935713291168,0.0011477768421173096,3,0,"[101, 173, 230]",False,False
18,4,4,dept_role,control3,anomalous,25377,25382,CDE1846:417,CDE1846:424,0.25,0.3885662257671356,0.3832508325576782,-0.0053153932094573975,3,0,"[101, 173, 230]",True,False
18,4,4,dept_role,control3,anomalous,25378,25379,CDE1846:420,CDE1846:421,0.25,0.4430732727050781,0.43625205755233765,-0.0068212151527404785,3,0,"[101, 173, 230]",True,False
18,4,4,dept_role,control3,anomalous,25379,25376,CDE1846:421,CDE1846:416,0.25,0.3854653239250183,0.38449692726135254,-0.0009683966636657715,3,0,"[101, 173, 230]",True,False
18,4,4,dept_role,control3,anomalous,25380,25384,CDE1846:422,CDE1846:428,0.25,0.41874030232429504,0.42100492119789124,0.0022646188735961914,3,0,"[101, 173, 230]",False,False
18,4,4,dept_role,control3,anomalous,25381,25377,CDE1846:423,CDE1846:417,0.25,0.418435275554657,0.4157792925834656,-0.0026559829711914062,3,0,"[101, 173, 230]",True,False
18,4,4,dept_role,control3,anomalous,25382,25378,CDE1846:424,CDE1846:420,0.25,0.40645793080329895,0.40612003207206726,-0.00033789873123168945,3,0,"[101, 173, 230]",True,False
18,4,4,dept_role,control3,anomalous,25383,25375,CDE1846:427,CDE1846:415,0.25,0.38738828897476196,0.38473182916641235,-0.0026564598083496094,3,0,"[101, 173, 230]",True,False
18,4,4,dept_role,control3,anomalous,25384,25376,CDE1846:428,CDE1846:416,0.25,0.40862470865249634,0.40876948833465576,0.00014477968215942383,3,0,"[101, 173, 230]",False,False
18,4,4,dept_role,control3,anomalous,25385,25375,CDE1846:429,CDE1846:415,0.25,0.4263884127140045,0.4278070330619812,0.0014186203479766846,3,0,"[101, 173, 230]",False,False
18,4,4,dept_role,control3,anomalous,25386,25375,CDE1846:430,CDE1846:415,0.25,0.38433220982551575,0.3833036422729492,-0.0010285675525665283,3,0,"[101, 173, 230]",True,False
18,4,4,dept_role,control3,anomalous,25387,25379,CDE1846:431,CDE1846:421,0.25,0.40721338987350464,0.4062511622905731,-0.0009622275829315186,3,0,"[101, 173, 230]",True,False
18,4,4,dept_role,control3,anomalous,25388,25379,CDE1846:434,CDE1846:421,0.25,0.37965360283851624,0.37630608677864075,-0.0033475160598754883,3,0,"[101, 173, 230]",True,False
