layer,chunk_id,path,rows,d_model,unit
18,0,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00000.pt,307935,2048,token
18,1,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00001.pt,345341,2048,token
18,2,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00002.pt,293175,2048,token
18,3,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00003.pt,281492,2048,token
18,4,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00004.pt,328395,2048,token
18,5,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00005.pt,295517,2048,token
18,6,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00006.pt,330941,2048,token
18,7,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00007.pt,235254,2048,token
18,8,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00008.pt,283322,2048,token
18,9,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00009.pt,230310,2048,token
18,10,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00010.pt,244259,2048,token
18,11,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00011.pt,326895,2048,token
18,12,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00012.pt,304737,2048,token
18,13,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00013.pt,266100,2048,token
18,14,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00014.pt,235598,2048,token
18,15,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00015.pt,278748,2048,token
18,16,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00016.pt,247994,2048,token
18,17,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00017.pt,295033,2048,token
18,18,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00018.pt,243463,2048,token
18,19,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00019.pt,268764,2048,token
18,20,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00020.pt,280756,2048,token
18,21,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00021.pt,271199,2048,token
18,22,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00022.pt,323230,2048,token
18,23,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00023.pt,301368,2048,token
18,24,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00024.pt,238195,2048,token
18,25,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00025.pt,292138,2048,token
18,26,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00026.pt,297468,2048,token
18,27,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00027.pt,308496,2048,token
18,28,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00028.pt,234443,2048,token
18,29,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00029.pt,388019,2048,token
18,30,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00030.pt,287485,2048,token
18,31,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00031.pt,297679,2048,token
18,32,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00032.pt,240866,2048,token
18,33,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00033.pt,286710,2048,token
18,34,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00034.pt,312632,2048,token
18,35,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00035.pt,314129,2048,token
18,36,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00036.pt,256724,2048,token
18,37,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00037.pt,293538,2048,token
18,38,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00038.pt,297371,2048,token
18,39,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00039.pt,231902,2048,token
18,40,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00040.pt,299483,2048,token
18,41,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00041.pt,256505,2048,token
18,42,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00042.pt,318562,2048,token
18,43,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00043.pt,246887,2048,token
18,44,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00044.pt,320877,2048,token
18,45,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00045.pt,353847,2048,token
18,46,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00046.pt,284404,2048,token
18,47,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00047.pt,372480,2048,token
18,48,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00048.pt,232574,2048,token
18,49,/anvil/projects/x-cis230270/x-sangdembay/cert-qlora-MI/token_delta_cache/qwen3b_session_token_deltas_l18/layer_18/chunk_00049.pt,315438,2048,token
